h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.067	0.002	-1.632	1	0.250	0.139	0.387	14.901	-2.978	
0.018	0.004	-1.577	4	0.250	0.140	0.116	14.039	-14.195	
0.034	0.002	-1.438	2	0.250	0.139	0.222	15.361	-7.955	
0.103	0.002	-1.490	2	0.250	0.139	0.422	10.219	-7.546	
0.107	0.003	-1.311	2	0.251	0.140	0.353	13.770	-9.280	
0.022	0.003	-1.538	3	0.251	0.140	0.157	12.936	-10.729	
0.004	0.003	-1.493	1	0.251	0.140	0.087	14.469	-4.117	
0.275	0.003	-1.506	2	0.252	0.140	0.629	11.391	-7.429	
0.010	0.005	-1.590	3	0.252	0.140	0.084	15.185	-10.550	
0.011	0.003	-1.606	2	0.252	0.140	0.107	14.153	-6.835	
0.003	0.004	-1.878	4	0.252	0.140	0.048	14.882	-14.612	
0.120	0.003	-1.884	1	0.252	0.141	0.533	12.770	-1.658	
0.392	0.003	-1.681	1	0.252	0.141	1.158	12.092	-2.653	
0.767	0.003	-1.803	1	0.253	0.141	2.622	11.169	-2.000	
0.733	0.002	-1.783	1	0.252	0.141	2.389	11.679	-2.095	
0.654	0.003	-1.888	1	0.252	0.140	1.984	11.864	-1.642	
0.801	0.003	-1.861	1	0.252	0.140	2.896	11.138	-1.746	
0.753	0.003	-1.850	1	0.252	0.140	2.526	12.948	-1.791	
0.679	0.003	-1.834	1	0.252	0.140	2.102	12.802	-1.861	
0.663	0.003	-1.842	1	0.251	0.140	2.026	12.839	-1.826	
0.663	0.003	-1.842	1	0.251	0.140	2.026	12.839	-1.826	
0.533	0.002	-1.846	2	0.250	0.139	1.345	9.677	-6.045	
0.381	0.001	-1.873	1	0.250	0.139	1.135	12.401	-1.701	
0.449	0.003	-1.905	1	0.250	0.139	1.302	11.942	-1.579	
0.016	0.001	-1.856	2	0.250	0.139	0.128	13.779	-6.026	
0.100	0.001	-1.767	1	0.250	0.139	0.481	12.863	-2.173	
0.014	0.002	-1.762	3	0.250	0.139	0.099	13.539	-10.278	
0.019	0.003	-1.571	3	0.251	0.139	0.150	13.636	-10.609	
0.007	0.002	-1.566	4	0.251	0.139	0.073	14.554	-14.205	
0.083	0.005	-1.592	2	0.251	0.139	0.308	13.999	-6.906	
0.014	0.004	-1.651	1	0.251	0.139	0.174	13.865	-2.845	
0.230	0.005	-1.809	1	0.251	0.139	0.791	14.201	-1.970	
0.045	0.003	-1.846	1	0.251	0.139	0.315	15.096	-1.810	
0.297	0.002	-1.959	1	0.251	0.139	0.937	12.182	-1.392	
0.611	0.003	-2.056	1	0.251	0.139	1.809	13.281	-1.111	
0.519	0.002	-2.070	1	0.250	0.139	1.498	11.825	-1.077	
0.407	0.002	-2.048	1	0.250	0.139	1.195	12.051	-1.134	
0.460	0.004	-2.060	2	0.250	0.139	0.942	12.066	-5.837	
0.709	0.003	-1.965	2	0.250	0.139	1.592	10.535	-5.887	
0.964	0.001	-2.062	1	0.250	0.139	7.438	10.137	-1.096	
0.945	0.003	-1.976	1	0.250	0.139	5.983	10.740	-1.339	
0.754	0.003	-2.085	1	0.250	0.138	2.528	11.453	-1.040	
0.584	0.002	-2.020	1	0.249	0.138	1.710	11.636	-1.210	
0.037	0.003	-2.027	2	0.249	0.138	0.230	13.777	-5.847	
0.014	0.004	-2.101	2	0.249	0.138	0.121	15.228	-5.832	
0.116	0.001	-2.095	1	0.249	0.138	0.523	12.759	-1.017	
0.014	0.004	-2.052	1	0.249	0.138	0.170	13.821	-1.124	
0.003	0.002	-2.014	1	0.249	0.138	0.084	14.607	-1.227	
0.059	0.001	-2.019	2	0.249	0.138	0.303	12.416	-5.851	
0.114	0.002	-2.045	2	0.249	0.138	0.366	13.886	-5.841	
0.055	0.002	-1.839	2	0.249	0.138	0.247	13.442	-6.058	
0.013	0.003	-2.034	1	0.249	0.138	0.164	14.212	-1.169	
0.032	0.002	-1.937	1	0.249	0.138	0.263	13.471	-1.465	
0.058	0.002	-1.972	1	0.249	0.138	0.360	13.578	-1.352	
0.056	0.004	-2.027	1	0.249	0.138	0.351	14.569	-1.190	
0.021	0.003	-2.103	1	0.249	0.138	0.213	15.356	-0.997	
0.068	0.002	-2.003	1	0.249	0.138	0.389	14.798	-1.256	
0.045	0.002	-1.979	1	0.249	0.138	0.312	14.057	-1.328	
0.245	0.003	-2.018	1	0.248	0.138	0.823	14.065	-1.213	
0.489	0.003	-2.068	1	0.248	0.138	1.412	11.861	-1.082	
0.557	0.002	-2.005	1	0.248	0.138	1.619	11.588	-1.252	
0.596	0.006	-2.089	1	0.248	0.138	1.756	12.981	-1.032	
0.630	0.002	-2.103	1	0.248	0.137	1.887	13.239	-0.997	
0.521	0.003	-2.053	1	0.247	0.137	1.505	12.085	-1.119	
0.718	0.002	-2.000	1	0.247	0.137	2.303	11.384	-1.266	
0.564	0.003	-2.014	1	0.247	0.137	1.643	11.714	-1.226	
0.598	0.002	-1.796	1	0.247	0.137	1.759	11.665	-2.031	
0.567	0.002	-1.793	1	0.247	0.137	1.650	12.418	-2.048	
0.752	0.001	-1.849	1	0.247	0.137	2.516	11.244	-1.796	
0.558	0.004	-1.901	1	0.247	0.137	1.622	13.390	-1.594	
0.203	0.002	-1.862	2	0.246	0.136	0.514	12.439	-6.017	
0.001	0.002	-1.902	1	0.246	0.136	0.047	13.773	-1.589	
0.392	0.002	-1.956	1	0.246	0.136	1.155	12.261	-1.403	
0.389	0.003	-1.869	2	0.246	0.136	0.967	8.514	-6.005	
0.293	0.005	-1.712	1	0.246	0.136	0.929	13.945	-2.467	
0.278	0.003	-1.721	1	0.246	0.136	0.894	12.516	-2.420	
0.067	0.002	-1.724	3	0.246	0.136	0.223	12.878	-10.303	
0.010	0.001	-1.700	3	0.246	0.136	0.094	13.134	-10.328	
0.008	0.004	-1.785	4	0.246	0.136	0.072	13.216	-14.364	
0.007	0.002	-1.759	2	0.246	0.136	0.110	12.716	-6.247	
0.050	0.004	-1.495	1	0.246	0.137	0.333	13.451	-4.094	
0.001	0.002	-1.585	2	0.247	0.137	0.040	13.749	-6.943	
0.047	0.003	-1.528	1	0.247	0.137	0.320	13.263	-3.788	
0.003	0.003	-1.468	3	0.247	0.137	0.042	14.245	-11.055	
0.380	0.003	-1.552	2	0.247	0.137	0.949	8.491	-7.129	
0.449	0.002	-1.468	3	0.247	0.137	0.966	6.638	-11.057	
0.837	0.003	-1.465	4	0.247	0.137	1.638	8.866	-14.409	
0.823	0.003	-1.560	3	0.247	0.137	1.799	10.184	-10.649	
0.843	0.003	-1.488	1	0.247	0.137	3.348	12.337	-4.165	
