h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.063	0.002	-2.094	1	0.264	0.075	0.661	5.079	-1.116	
0.013	0.001	-2.025	2	0.264	0.075	0.114	7.105	-5.962	
0.331	0.002	-1.969	1	0.264	0.075	0.998	4.797	-1.489	
0.097	0.002	-2.057	2	0.264	0.075	0.406	6.467	-5.943	
0.011	0.003	-2.056	3	0.264	0.075	0.116	6.593	-10.669	
0.120	0.003	-1.936	2	0.264	0.075	0.453	9.712	-6.055	
0.007	0.002	-1.972	2	0.264	0.075	0.102	14.185	-6.010	
0.083	0.003	-1.976	2	0.263	0.075	0.379	11.809	-6.005	
0.011	0.004	-1.978	2	0.263	0.075	0.137	13.031	-6.003	
0.013	0.002	-2.021	2	0.263	0.075	0.146	12.117	-5.965	
0.026	0.001	-2.036	1	0.262	0.075	0.399	6.184	-1.276	
0.157	0.002	-1.961	2	0.263	0.075	0.541	8.116	-6.022	
0.122	0.001	-1.827	2	0.262	0.075	0.533	4.017	-6.261	
0.002	0.001	-1.875	3	0.262	0.075	0.038	8.444	-10.460	
0.030	0.002	-1.911	2	0.262	0.075	0.218	6.346	-6.092	
0.009	0.003	-1.937	3	0.262	0.075	0.097	11.011	-10.502	
0.006	0.001	-1.973	3	0.261	0.075	0.075	12.434	-10.540	
0.046	0.000	-1.997	2	0.261	0.075	0.227	3.158	-5.985	
0.020	0.003	-1.967	2	0.261	0.075	0.175	11.211	-6.015	
0.022	0.002	-1.944	2	0.261	0.074	0.190	11.573	-6.044	
0.052	0.002	-1.952	2	0.261	0.074	0.239	3.682	-6.034	
0.054	0.001	-1.894	1	0.261	0.074	0.339	6.368	-1.775	
0.092	0.003	-2.114	2	0.261	0.074	0.403	11.104	-5.925	
0.031	0.001	-1.981	1	0.261	0.074	0.260	7.701	-1.450	
0.195	0.001	-1.831	1	0.261	0.074	1.257	4.255	-2.052	
0.243	0.003	-1.885	4	0.262	0.075	0.600	-1.055	-14.791	
0.110	0.002	-1.990	2	0.262	0.075	0.442	3.701	-5.991	
0.038	0.001	-1.952	1	0.262	0.075	0.293	8.779	-1.551	
0.015	0.004	-1.867	2	0.262	0.075	0.165	10.958	-6.173	
0.063	0.004	-1.889	3	0.261	0.075	0.290	13.313	-10.467	
0.092	0.001	-1.903	1	0.262	0.075	0.780	6.599	-1.737	
0.155	0.002	-1.603	2	0.262	0.075	0.567	10.351	-7.150	
0.146	0.002	-1.595	2	0.261	0.075	0.520	12.731	-7.201	
0.136	0.003	-1.563	3	0.261	0.075	0.376	10.761	-10.970	
0.030	0.002	-1.595	1	0.261	0.075	0.256	10.307	-3.551	
0.135	0.003	-1.604	3	0.261	0.075	0.374	8.987	-10.815	
0.012	0.002	-1.605	2	0.261	0.075	0.128	8.654	-7.143	
0.002	0.001	-1.736	2	0.261	0.074	0.063	13.629	-6.538	
0.017	0.002	-1.739	3	0.261	0.074	0.130	11.921	-10.512	
0.019	0.003	-1.768	2	0.261	0.074	0.182	12.612	-6.427	
0.002	0.003	-1.738	3	0.260	0.074	0.043	14.256	-10.513	
0.008	0.002	-1.642	4	0.260	0.074	0.090	11.422	-14.456	
0.074	0.003	-1.746	3	0.260	0.074	0.275	10.641	-10.504	
0.028	0.003	-1.744	2	0.260	0.074	0.214	13.005	-6.510	
0.030	0.004	-1.769	2	0.259	0.074	0.221	14.334	-6.427	
0.049	0.003	-1.795	2	0.259	0.074	0.289	13.465	-6.347	
0.042	0.001	-1.832	2	0.259	0.074	0.256	10.596	-6.252	
0.011	0.003	-1.881	3	0.259	0.074	0.104	14.307	-10.463	
0.051	0.002	-1.934	3	0.259	0.074	0.218	11.996	-10.499	
