snp	 s0	s1	s2	s3	
4	28	78	122	167	
4	33	78	122	162	
3	26	78	122	NA 
4	31	78	115	166	
4	33	36	78	115	
4	28	78	113	157	
4	18	78	113	167	
4	17	73	122	167	
4	7	73	122	167	
4	7	73	122	167	
4	20	73	122	167	
4	28	73	122	167	
4	33	73	122	167	
4	33	73	122	167	
4	33	73	122	167	
4	35	73	122	167	
4	31	73	122	167	
4	37	73	112	167	
4	20	73	122	167	
4	20	73	113	167	
4	26	73	113	167	
4	26	73	113	167	
4	35	78	113	167	
4	31	78	113	167	
4	40	78	113	167	
4	40	78	113	167	
4	35	78	126	167	
4	17	73	122	167	
4	33	73	122	154	
4	36	73	122	160	
4	37	73	122	166	
4	35	73	122	167	
4	7	73	122	163	
4	7	73	122	163	
4	7	73	122	164	
4	7	73	122	166	
4	8	73	122	162	
4	12	73	122	160	
4	21	73	122	161	
4	37	73	122	161	
4	30	73	122	163	
4	39	73	122	154	
4	44	73	122	151	
4	39	73	122	159	
4	37	73	122	159	
4	37	73	122	157	
4	40	73	122	167	
4	40	73	122	167	
4	33	78	122	167	
4	28	78	122	167	
4	36	78	122	167	
4	36	78	122	167	
4	39	78	122	167	
4	36	78	133	167	
4	25	73	133	167	
4	25	73	133	167	
4	25	73	133	167	
4	16	73	132	167	
4	18	73	132	167	
4	21	73	141	167	
4	25	73	141	167	
4	20	73	138	167	
4	28	73	135	167	
4	36	73	135	167	
4	36	73	126	167	
4	39	73	128	167	
4	45	73	130	167	
4	45	73	138	167	
4	24	73	131	167	
4	36	73	141	167	
4	36	73	132	167	
4	40	73	132	167	
4	40	73	141	167	
4	40	73	141	167	
4	23	73	131	167	
4	18	73	130	167	
4	18	73	130	167	
4	21	73	138	167	
4	21	73	141	167	
4	19	73	141	167	
4	24	73	133	167	
4	24	73	133	167	
4	24	73	138	167	
4	26	73	130	167	
4	26	73	130	167	
4	33	73	130	167	
4	20	73	122	167	
4	23	73	122	167	
4	33	73	122	167	
4	37	73	122	167	
4	37	73	134	167	
4	40	73	122	167	
4	36	73	122	167	
4	39	73	122	167	
4	33	73	122	167	
4	18	78	122	167	
4	24	78	132	167	
4	24	78	128	167	
4	25	78	124	167	
4	24	78	122	167	
4	19	78	122	167	
4	19	78	122	167	
4	36	78	122	167	
4	20	78	122	167	
4	20	73	122	167	
4	24	78	122	167	
4	20	78	122	167	
4	16	78	113	167	
4	24	78	115	167	
4	18	78	114	167	
4	18	78	114	167	
4	28	78	114	167	
4	35	78	122	167	
4	39	78	122	167	
4	31	78	122	167	
4	31	78	113	167	
4	19	78	113	167	
4	19	78	113	167	
4	21	78	122	167	
4	23	78	115	167	
4	23	73	124	167	
4	24	73	122	167	
4	25	73	122	167	
4	25	73	132	167	
4	25	73	134	167	
4	25	73	130	167	
4	16	73	130	167	
4	16	73	130	167	
4	28	73	122	167	
4	17	73	133	167	
4	26	73	133	167	
4	20	73	132	167	
4	21	73	135	167	
4	26	73	132	167	
4	26	73	132	167	
4	21	73	128	167	
4	21	73	128	167	
4	30	78	141	167	
4	37	78	141	167	
4	37	78	141	167	
4	30	73	133	167	
4	25	73	134	167	
4	20	73	133	167	
4	35	73	133	167	
4	33	73	133	167	
4	24	73	128	167	
4	23	73	128	167	
4	23	73	128	167	
4	19	73	141	167	
4	21	73	133	165	
4	37	73	135	165	
4	24	73	134	164	
4	24	73	138	152	
4	24	73	138	155	
4	40	73	128	145	
4	40	73	128	159	
4	36	73	131	143	
4	39	73	124	143	
4	35	73	131	143	
4	25	73	131	160	
4	30	73	122	144	
4	23	73	122	144	
4	31	73	130	144	
4	31	73	122	153	
4	25	73	122	156	
4	25	73	122	150	
4	37	73	122	159	
4	33	73	122	153	
4	25	73	130	163	
4	39	78	130	155	
4	30	78	128	163	
4	30	78	128	167	
4	23	78	128	167	
4	26	78	130	167	
4	17	78	130	167	
4	25	78	131	167	
4	16	78	141	167	
4	16	78	134	167	
4	0	78	131	167	
4	0	78	141	167	
4	0	78	135	167	
4	0	78	134	164	
4	0	73	138	166	
4	0	73	138	167	
4	18	78	130	167	
4	24	78	130	167	
4	24	78	130	167	
4	20	78	130	167	
4	24	78	138	167	
4	26	78	134	167	
4	31	78	134	167	
4	40	78	124	167	
4	31	78	130	167	
4	16	78	130	167	
4	28	78	130	167	
4	17	73	126	167	
4	17	73	135	167	
4	17	73	134	167	
4	17	73	133	167	
4	17	73	133	167	
4	33	73	138	167	
4	33	73	133	167	
4	37	73	141	167	
4	37	73	141	167	
4	37	73	141	167	
4	37	73	131	167	
4	31	78	131	167	
4	39	78	131	167	
4	33	78	138	167	
4	35	78	141	167	
4	28	78	131	167	
4	23	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	31	73	113	167	
4	45	78	113	167	
4	45	78	113	167	
4	45	78	115	167	
4	45	73	115	167	
4	45	73	115	167	
4	40	73	115	167	
4	31	73	122	167	
4	25	73	132	167	
4	25	73	138	167	
4	25	73	130	167	
4	19	73	130	167	
4	19	73	130	167	
4	8	73	128	167	
4	8	73	130	167	
4	23	73	130	167	
4	19	78	114	167	
4	21	78	114	167	
4	24	78	132	167	
4	19	78	131	167	
4	20	78	131	167	
4	20	73	128	167	
4	24	73	128	167	
4	28	78	138	167	
4	23	78	138	167	
4	19	73	138	167	
4	26	73	138	167	
4	18	73	131	167	
4	26	73	131	167	
4	26	73	131	167	
4	16	73	134	167	
4	16	73	134	167	
4	23	73	134	167	
4	23	73	138	167	
4	37	73	138	167	
4	40	73	138	167	
4	36	78	130	167	
4	28	73	130	167	
4	25	73	133	167	
4	25	73	133	167	
4	25	73	134	167	
4	24	73	130	167	
4	31	73	130	167	
4	31	78	130	152	
4	20	78	126	155	
4	24	78	131	145	
4	16	73	141	148	
4	25	73	141	161	
4	25	73	138	163	
3	35	73	131	NA 
4	33	73	131	166	
4	36	73	124	163	
4	36	73	124	165	
4	37	73	133	166	
4	37	73	133	166	
4	37	73	133	158	
4	31	73	128	152	
4	36	73	128	159	
4	35	73	122	165	
4	35	73	122	167	
4	39	73	122	167	
4	39	73	122	167	
4	18	73	122	167	
4	28	73	122	167	
4	12	73	122	167	
4	19	73	122	167	
4	19	73	122	167	
4	12	73	122	167	
4	30	73	122	167	
4	23	73	122	167	
4	23	73	122	167	
4	24	73	122	167	
4	24	73	122	167	
4	30	73	122	167	
4	26	73	112	167	
4	31	73	113	167	
4	30	73	115	167	
4	26	73	114	167	
4	36	73	114	167	
4	36	73	122	167	
4	44	73	122	167	
4	44	73	113	167	
4	44	73	122	167	
4	28	73	131	167	
4	19	73	128	167	
4	21	73	134	167	
4	21	73	131	167	
4	20	73	131	167	
4	25	73	135	167	
4	25	73	135	167	
4	19	73	131	167	
4	19	73	126	167	
4	19	73	122	167	
4	33	73	122	167	
4	24	73	130	167	
4	23	73	130	167	
4	23	78	131	167	
4	30	73	138	167	
4	26	73	141	167	
4	17	73	132	167	
4	0	73	130	167	
4	0	73	126	167	
4	0	73	131	167	
4	0	73	126	167	
4	16	73	126	167	
4	16	73	122	167	
4	28	73	122	167	
4	25	73	122	167	
4	21	73	122	167	
4	17	73	122	167	
4	20	73	122	167	
4	20	73	122	167	
4	20	73	133	167	
4	24	73	133	167	
4	21	73	133	167	
4	19	73	133	167	
4	19	73	138	167	
4	16	73	141	167	
4	16	73	141	167	
4	12	73	135	167	
4	12	73	141	167	
4	25	73	141	167	
4	28	73	141	167	
4	0	73	133	167	
4	7	73	134	167	
4	7	73	138	167	
4	8	73	138	167	
4	8	73	138	167	
4	12	73	128	167	
4	12	73	131	167	
4	18	78	138	167	
4	28	78	138	167	
4	35	78	132	167	
4	35	78	133	167	
4	35	78	135	167	
4	25	78	133	167	
4	37	73	135	167	
4	30	73	141	167	
4	33	73	141	165	
4	30	73	141	165	
4	30	73	132	166	
4	31	73	130	167	
4	21	78	130	167	
4	26	78	130	167	
4	25	78	130	167	
4	25	73	130	167	
4	25	73	135	167	
4	8	78	138	167	
4	18	78	133	167	
4	18	78	138	167	
4	25	78	132	167	
4	16	78	130	167	
4	21	78	122	167	
4	21	78	122	167	
4	28	78	131	167	
4	24	78	122	167	
4	18	73	122	167	
4	18	78	122	161	
4	19	78	122	161	
4	19	78	113	162	
4	16	73	113	162	
4	33	73	113	150	
4	33	73	122	152	
4	37	73	122	152	
4	35	73	122	153	
4	37	78	122	149	
4	37	78	122	153	
4	37	78	130	153	
4	30	78	135	150	
4	35	78	133	158	
4	37	78	133	158	
4	37	78	126	167	
4	39	78	126	167	
4	39	78	126	167	
4	33	78	126	167	
4	26	78	130	167	
4	26	78	130	167	
4	26	78	130	167	
4	26	78	131	167	
4	26	78	122	167	
4	35	78	122	167	
4	35	78	122	167	
4	31	78	122	167	
4	40	78	122	167	
4	35	78	122	167	
4	37	78	122	167	
4	37	78	122	167	
4	37	78	130	167	
4	30	78	135	166	
4	30	78	135	167	
4	30	78	130	167	
4	39	78	138	167	
4	39	73	138	167	
4	39	73	138	167	
4	30	73	128	167	
4	36	73	128	167	
4	39	73	128	167	
4	36	73	132	167	
4	39	78	141	167	
4	39	78	141	167	
4	37	78	128	167	
4	45	78	141	167	
4	40	78	132	167	
4	40	78	132	167	
4	12	78	122	167	
4	12	78	122	167	
4	31	73	112	167	
4	31	73	113	167	
4	21	73	113	167	
4	20	73	113	167	
4	28	73	122	167	
4	39	78	122	167	
4	39	73	122	167	
4	35	73	122	167	
4	36	73	122	167	
4	28	73	122	167	
4	23	73	133	167	
4	19	73	114	167	
4	18	73	114	167	
4	36	73	114	167	
4	19	73	113	167	
4	19	73	113	167	
4	16	73	113	167	
4	25	73	113	167	
4	25	73	113	167	
4	21	73	114	167	
4	24	73	124	167	
4	21	73	124	167	
4	31	73	126	167	
4	28	73	132	167	
4	12	73	122	167	
4	7	73	130	167	
4	25	73	141	167	
4	21	73	141	167	
4	31	73	141	167	
4	18	73	131	154	
4	31	73	131	164	
4	31	73	131	164	
4	40	73	126	164	
3	40	73	126	NA 
4	20	73	113	164	
4	20	73	113	166	
4	20	73	113	166	
4	33	73	115	166	
4	36	73	115	163	
4	40	73	115	150	
4	40	73	115	153	
4	40	73	115	152	
4	40	73	115	145	
4	26	78	115	157	
4	26	78	115	158	
4	36	78	115	160	
4	30	78	115	160	
4	36	78	115	153	
4	36	69	78	115	
4	35	78	115	159	
4	35	78	115	158	
4	30	73	115	155	
4	37	73	115	155	
4	40	73	115	158	
4	40	73	113	163	
4	40	73	113	162	
4	40	73	113	167	
4	40	73	113	167	
4	36	73	113	167	
4	28	73	113	167	
4	30	73	113	167	
4	28	73	113	167	
4	25	73	122	167	
4	20	73	122	167	
4	20	73	122	167	
4	12	73	122	167	
4	33	73	122	167	
4	40	73	122	152	
4	36	73	122	162	
4	37	73	84	122	
4	24	73	122	164	
4	8	73	122	164	
4	8	73	122	155	
4	8	73	122	145	
4	7	73	122	166	
3	7	73	122	NA 
4	7	73	122	167	
4	16	73	130	167	
4	26	73	130	167	
4	16	73	130	167	
4	25	73	130	167	
4	24	73	130	167	
4	30	73	122	167	
4	33	73	122	167	
4	19	73	122	167	
4	18	73	122	167	
4	16	73	122	167	
4	30	73	122	167	
4	35	73	122	167	
4	31	73	128	167	
4	31	78	138	167	
4	25	78	130	167	
4	25	78	130	167	
4	37	78	126	167	
4	33	78	126	167	
4	16	78	132	167	
4	23	78	133	167	
4	23	78	132	167	
4	35	78	130	167	
4	37	73	122	167	
4	37	73	122	165	
4	37	73	122	165	
4	36	78	122	162	
4	37	78	122	167	
4	36	73	126	167	
4	36	73	126	167	
4	35	73	122	167	
4	39	73	122	167	
4	39	73	122	167	
4	39	73	122	167	
4	35	73	122	167	
4	30	73	122	167	
4	21	73	122	167	
4	24	73	122	167	
4	24	73	113	167	
4	26	78	113	167	
4	36	78	113	167	
4	26	78	113	167	
4	26	78	114	167	
4	31	78	122	167	
4	30	78	122	167	
4	30	73	130	167	
4	40	73	130	167	
4	40	78	130	167	
4	35	78	128	167	
4	37	78	134	167	
4	40	78	138	167	
4	40	78	138	167	
4	40	78	132	167	
4	40	78	132	167	
4	31	78	122	167	
4	35	78	122	167	
4	35	73	122	167	
4	45	73	122	167	
4	35	73	122	167	
4	28	73	122	167	
4	18	73	122	167	
4	12	73	122	167	
4	12	73	122	167	
4	21	73	122	167	
4	28	73	122	167	
4	36	73	113	167	
4	23	73	113	167	
4	26	73	113	167	
4	26	73	114	167	
4	25	73	115	167	
4	25	73	115	167	
4	31	73	115	167	
4	23	73	114	167	
4	18	73	112	167	
4	8	73	112	167	
4	16	73	112	167	
4	24	73	114	167	
4	17	78	114	167	
4	17	78	113	167	
4	19	73	122	167	
4	23	73	122	167	
4	28	73	130	167	
4	25	78	130	167	
4	31	78	130	167	
4	36	73	134	167	
4	36	73	141	167	
4	37	73	132	167	
4	37	73	138	167	
4	37	73	130	167	
4	37	73	130	167	
4	37	73	124	167	
4	39	73	130	167	
4	31	73	115	167	
4	28	73	115	167	
4	23	73	112	167	
4	31	73	122	167	
4	26	73	122	167	
4	30	73	122	167	
4	19	73	122	167	
4	28	73	131	167	
4	36	73	122	167	
4	36	73	122	167	
4	37	73	113	167	
4	40	73	113	167	
4	40	73	113	167	
4	28	73	138	167	
4	25	73	138	167	
4	31	73	138	167	
4	33	73	135	167	
4	39	73	128	167	
4	39	73	135	167	
4	39	73	131	167	
4	40	73	131	167	
4	19	73	134	167	
4	31	78	135	167	
4	31	78	132	167	
4	31	78	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	16	73	122	167	
4	16	73	122	167	
4	17	73	122	167	
4	26	73	130	167	
4	30	73	130	167	
4	19	78	130	167	
4	19	78	122	167	
4	25	78	122	167	
4	25	78	131	167	
4	18	78	126	167	
4	31	73	130	167	
4	21	73	130	167	
4	21	73	141	167	
4	24	73	141	167	
4	21	73	141	167	
4	24	73	141	167	
4	30	73	141	167	
4	30	73	131	167	
4	40	78	131	167	
4	40	78	134	167	
4	40	78	138	167	
4	35	73	138	167	
4	31	73	134	167	
4	25	73	141	167	
4	33	73	141	167	
4	35	73	122	167	
4	30	73	122	167	
4	17	73	122	167	
4	7	73	124	167	
4	7	78	115	151	
4	17	78	115	160	
4	21	73	115	158	
4	21	73	115	166	
4	21	78	114	166	
4	18	78	133	166	
4	18	78	130	163	
4	28	78	131	155	
4	30	78	131	145	
4	33	78	122	145	
4	25	78	131	167	
4	31	78	131	167	
4	30	78	130	167	
4	18	78	130	167	
4	28	78	130	167	
4	28	78	134	167	
4	28	78	130	167	
4	16	78	141	167	
4	21	73	141	167	
4	24	73	139	167	
4	31	78	140	167	
4	17	78	134	167	
4	12	78	132	167	
4	17	73	131	167	
4	7	73	138	167	
4	17	73	134	167	
4	17	73	138	167	
4	8	73	141	167	
4	8	73	141	167	
4	18	78	134	167	
4	21	78	141	167	
4	31	78	141	167	
4	45	78	141	167	
4	45	78	131	167	
4	24	78	131	167	
4	25	78	122	167	
4	31	78	122	167	
4	31	78	122	167	
4	33	78	122	167	
4	24	78	122	167	
4	19	73	115	167	
4	25	73	115	167	
4	25	73	126	167	
4	16	73	130	167	
4	0	73	132	167	
4	0	73	138	167	
4	0	73	138	167	
4	0	73	138	167	
4	7	73	132	167	
4	7	73	131	167	
4	7	73	131	167	
4	12	73	122	167	
4	12	73	141	167	
4	12	73	132	167	
4	26	73	131	167	
4	17	73	122	167	
4	26	73	126	167	
4	25	73	128	167	
4	25	73	132	167	
4	24	73	130	167	
4	24	73	114	167	
4	21	73	112	167	
4	25	73	112	167	
4	25	73	112	167	
4	25	73	114	167	
4	25	73	113	167	
4	35	73	113	167	
4	35	73	113	167	
4	20	73	112	167	
4	20	78	112	167	
4	20	78	112	167	
4	25	78	112	167	
4	33	78	122	167	
4	40	78	122	167	
4	40	78	122	167	
4	40	78	122	167	
4	40	73	122	167	
4	26	73	122	167	
4	25	73	114	167	
4	25	73	114	167	
4	31	73	122	167	
4	33	73	122	167	
4	33	73	122	167	
4	36	73	131	167	
4	39	73	131	167	
4	37	73	131	167	
4	37	78	122	167	
4	36	78	114	167	
4	45	78	113	167	
4	45	78	113	167	
4	40	78	126	167	
4	35	78	126	167	
4	12	78	126	167	
4	26	78	131	167	
4	35	78	131	167	
4	36	78	132	167	
4	40	78	132	167	
4	31	78	141	167	
4	33	78	124	167	
4	30	73	130	167	
4	18	73	130	167	
4	18	73	130	167	
4	17	73	130	167	
4	36	73	122	167	
4	25	73	122	150	
4	24	73	133	144	
4	18	73	135	145	
4	8	73	141	158	
4	18	73	138	152	
4	24	73	130	161	
4	17	73	131	159	
4	16	73	134	169	
4	7	59	73	130	
4	7	73	97	130	
4	12	73	91	122	
4	18	73	122	151	
4	28	73	122	157	
4	19	78	122	153	
4	26	78	122	159	
4	25	78	122	152	
4	25	78	122	149	
4	16	78	122	154	
4	28	78	122	151	
4	26	78	122	151	
4	24	78	122	145	
4	0	73	122	145	
4	0	73	122	145	
4	0	73	122	149	
4	0	73	122	151	
4	8	73	115	162	
4	8	73	115	162	
4	8	73	122	161	
4	16	73	115	167	
4	20	73	115	167	
4	33	73	115	167	
4	33	73	113	167	
4	30	73	122	167	
4	36	73	122	167	
4	36	73	112	167	
4	45	73	112	167	
4	31	73	122	167	
4	24	73	122	167	
4	25	73	122	167	
4	36	73	113	167	
4	35	73	113	167	
4	35	73	113	167	
4	44	73	113	167	
4	44	73	113	167	
4	37	73	113	167	
4	26	73	112	167	
4	20	73	112	167	
4	20	73	113	167	
4	20	73	113	167	
4	19	73	113	167	
4	16	73	115	167	
4	16	73	114	167	
4	24	73	131	167	
4	24	73	132	167	
4	25	73	122	154	
4	20	73	122	158	
4	25	73	122	165	
4	26	73	122	166	
4	19	73	122	166	
4	20	73	122	154	
4	25	73	122	145	
4	24	73	122	157	
4	17	73	122	163	
4	7	73	122	167	
4	17	78	122	167	
4	8	78	122	167	
4	16	78	128	167	
4	21	78	132	167	
4	17	78	133	167	
4	25	78	130	167	
4	25	78	130	167	
4	25	78	130	167	
4	23	78	130	167	
4	12	78	130	167	
4	12	78	122	167	
4	31	78	122	167	
4	26	78	130	167	
4	40	78	130	167	
4	40	73	130	167	
4	36	73	130	167	
4	30	73	130	167	
4	31	73	126	167	
4	37	78	135	167	
4	18	78	128	167	
4	33	78	130	165	
4	33	78	130	165	
4	31	78	130	165	
4	31	78	130	166	
4	25	73	131	164	
4	17	73	131	164	
4	40	73	128	162	
4	40	73	134	161	
4	40	73	134	150	
4	37	73	134	145	
4	35	73	138	160	
4	37	73	132	165	
4	44	73	131	155	
4	44	73	131	165	
4	44	73	141	165	
4	33	73	141	165	
4	23	73	141	166	
4	25	73	133	166	
4	25	73	141	166	
4	21	73	141	157	
4	20	73	128	157	
4	19	73	134	167	
4	25	73	134	167	
4	25	73	132	167	
4	17	73	128	167	
4	7	73	133	159	
4	7	73	135	158	
4	7	73	135	160	
4	0	78	133	148	
4	0	73	133	151	
4	0	73	133	159	
4	62	73	135	159	
4	62	73	130	159	
4	60	73	126	159	
4	60	73	132	154	
4	60	73	130	160	
4	60	73	138	153	
4	60	73	138	145	
4	60	73	141	145	
4	62	73	135	154	
4	60	73	135	154	
4	60	73	130	162	
4	21	78	103	141	
4	23	78	101	141	
4	33	78	102	141	
4	30	78	122	145	
4	30	78	122	162	
4	37	78	122	166	
4	18	78	122	166	
4	19	78	122	166	
4	19	78	122	166	
4	16	35	78	122	
4	19	78	122	153	
4	25	78	122	149	
4	25	73	122	154	
3	35	78	122	NA 
4	35	78	122	167	
4	30	78	122	167	
4	30	78	122	167	
4	44	73	122	167	
4	40	73	122	167	
4	40	73	122	167	
4	40	73	122	167	
4	21	73	122	166	
4	28	73	122	166	
4	26	73	122	151	
4	26	78	122	160	
3	40	73	122	NA 
4	40	73	122	156	
4	37	73	122	161	
4	37	73	122	161	
4	37	73	122	151	
4	40	73	122	158	
4	33	73	122	166	
4	40	73	122	165	
4	31	73	122	163	
4	40	73	122	150	
4	36	73	122	150	
4	36	78	97	122	
4	40	78	92	122	
4	44	78	122	159	
4	36	78	122	157	
4	26	78	122	152	
4	25	73	122	150	
4	25	73	122	150	
4	19	73	122	152	
4	12	73	122	154	
3	16	73	133	NA 
3	21	73	133	NA 
4	21	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	25	73	130	167	
4	25	73	132	167	
4	30	73	132	167	
4	33	73	130	167	
4	25	73	130	167	
4	25	73	133	167	
4	25	73	134	167	
4	25	73	128	167	
4	16	78	141	167	
4	16	78	141	167	
4	35	73	134	167	
4	40	73	141	167	
4	35	73	141	167	
4	33	73	141	167	
